loja,categoria,nome,descricao,preco,imagem
Ana Formiga Doces,Festa Junina,Novidade - Morango do Amor,"Chegou o sabor que vai conquistar seu arraiá! Um irresistível morango envolvido em brigadeiro de Ninho e coberto com caramelo artesanal, feito com todo carinho pra adoçar seu dia. Delícia típica com um toque especial da nossa confeitaria. 1 unidade de peso médio 50g",11.0,https://www.goomer.app/webmenu/anaformigadoces/product/11858907/picture/medium/250607174244
Ana Formiga Doces,Festa Junina,Maçã do Amor,As tradicionais maçãs mergulhadas em uma delicada camada de caramelo artesanal. Ela nos faz reviver momentos únicos de infância. 1 unidade de peso médio 150g,8.5,https://www.goomer.app/webmenu/anaformigadoces/product/5314113/picture/medium/250620234737
Ana Formiga Doces,Festa Junina,Canjica doce com amendoim,"Pra adoçar seu mês das festas juninas, temos uma deliciosa canjica cremosa. A canjica contém creme quatro leites (leite em pó, leite, creme de leite, leite condensado) e amendoim. 1 unidade de peso médio 200g.  Vai na temperatura ambiente.",10.0,https://www.goomer.app/webmenu/anaformigadoces/product/9738404/picture/medium/250620234741
Ana Formiga Doces,Bolo de Vó,Bolo de Vó - baunilha - Dois Amores,"Bolo caseiro de baunilha com cobertura de Ninho com brigadeiro cremoso. 1 unidade de peso médio 200g
Escolha a sua cobertura:",12.0,https://www.goomer.app/webmenu/anaformigadoces/product/10471764/picture/medium/250118204902
Ana Formiga Doces,Bolo de Vó,Bolo de Vó - baunilha - Ninho,"Bolo caseiro de baunilha com cobertura de Ninho cremoso. 1 unidade de peso médio 200g
Escolha a sua cobertura:",11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10418040/picture/medium/241106010726
Ana Formiga Doces,Bolo de Vó,Bolo de Vó - baunilha - Brigadeiro,Bolo caseiro de Baunilha com cobertura de Brigadeiro cremoso. 1 unidade de peso médio 200g,11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10418193/picture/medium/240626170029
Ana Formiga Doces,Bolo de Vó,Bolo Chocolatudo,Bolo caseiro de chocolate com cobertura de brigadeiro cremoso. 1 unidade de peso médio 200g,11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10418196/picture/medium/250614155550
Ana Formiga Doces,Bolo de Vó,Bolo de chocolate - Dois Amores,Bolo caseiro de chocolate com cobertura de  Ninho com brigadeiro cremoso. 1 unidade de peso médio 200g,11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10418201/picture/medium/250614155557
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Ninho com Morango,"Nosso delicioso pote da Felicidade de Ninho com Morango é composto das camadas: Mousse de Ninho, Brigadeiro de Ninho, Morangos picados, Mousse de Ninho e Brigadeiro de Ninho. 1 unidade de peso médio de 170g.",13.0,https://www.goomer.app/webmenu/anaformigadoces/product/11011308/picture/medium/250620234811
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Oreo,"Mousse de NInho, Brigadeiro de Ninho, Oreo e Bombom de Oreo. 1 unidade de peso médio de 170g.",14.0,https://www.goomer.app/webmenu/anaformigadoces/product/11920026/picture/medium/250607173444
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Ferrero Rocher,"Uma delicisosa sobremesa com uma explosão de sabores composta por Camadas de Mousse Maravilhoso de Nutella, Bombom Ferrero Rocher, amendoim para dar uma crocância, brigadeiro tradicional cremoso e mousse sensacional de Nuttela, decorado com brigadeiro de Ferrero Rocher fenomenal e morango fresco pra arrematar essa gostosura. 1 unidade de peso médio de 170g.",15.0,https://www.goomer.app/webmenu/anaformigadoces/product/11920023/picture/medium/250607165320
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Kinder Bueno com Nutella,"Nosso delicioso pote da Felicidade de Ninho com Nutella é composto das camadas: Mousse de chocolate, Brigadeiro de Ninho, Kinder Bueno, Nutella pura, Brigadeiro de Ninho e Kinder Bueno por cima. 1 unidade de peso médio de 170g.",15.0,https://www.goomer.app/webmenu/anaformigadoces/product/11011301/picture/medium/250211153032
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Ouro Branco,"Nosso delicioso pote da Felicidade de Ouro Branco é composto das camadas: Mousse de Ninho, Brigadeiro de Ninho, Bombom Ouro Branco, Mousse de chocolate e Brigadeiro de Ninho e Ouro Branco. 1 unidade de peso médio de 170g.",13.0,https://www.goomer.app/webmenu/anaformigadoces/product/11011296/picture/medium/250531134801
Ana Formiga Doces,Pote da Felicidade,Pote da Felicidade Bis Max,"Nosso delicioso pote da Felicidade de Bis com Chocolate é composto das camadas: Mousse de Chocolate, Brigadeiro de Chocolate e Bis picados. 1 unidade de peso médio de 170g.",13.0,https://www.goomer.app/webmenu/anaformigadoces/product/8715048/picture/medium/241123151054
Ana Formiga Doces,Pote da Felicidade,Bombom de Uva no Pote,"Creme de Ninho, uvas,  chocolate nobre picado, brigadeiro de chocolate gourmet, granule de chocolate . 1 unidade de peso médio de 150g",10.0,https://www.goomer.app/webmenu/anaformigadoces/product/11686762/picture/medium/250318231806
Ana Formiga Doces,Pote da Felicidade,Bombom de morango no Pote,"O queridinho da nossa confeitaria, com muito sabor único e incomparável, vem com Creme de Ninho, morangos frescos picados pra dar um toque de azedinho, pedaços de chocolate ao leite, brigadeiro cremoso de chocolate gourmet. 1 unidade de peso médio de 150g",10.0,https://www.goomer.app/webmenu/anaformigadoces/product/11686763/picture/medium/250620234827
Ana Formiga Doces,Céus,Céus de Uvas,Uma deliciosa combinação de uvas,11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10498321/picture/medium/240724173145
Ana Formiga Doces,Céus,Céus de Morangos,"Uma deliciosa combinação de morangos suculentos, brigadeiro cremoso de Ninho e suspiros levíssimos.. 1 unidade de peso médio 180g",11.0,https://www.goomer.app/webmenu/anaformigadoces/product/10412033/picture/medium/250620234753
Ana Formiga Doces,Brigadeiros,Caixinha de 4 brigadeiros a sua escolha,"Brigadeiros deliciosos e lindíssimos preparados especialmente pra você. 
 Escolha no mínimo e no máximo quatro (4) unidades de brigadeiros a sua escolha.",16.0,https://www.goomer.app/webmenu/anaformigadoces/product/8384079/picture/medium/241106010859
Ana Formiga Doces,Coxinhas,Coxinha de Brigadeiro,"Um brigadeiro gourmet recheado com morango, envolvido em granulado. 1 unidade de peso médio de 90g",13.0,https://www.goomer.app/webmenu/anaformigadoces/product/3091514/picture/medium/250620234952
Ana Formiga Doces,Coxinhas,Coxinha de Ferrero Rocher,"Um brigadeiro gourmet de chocolate recheado com morango, envolvido em amendoim. 1 unidade de peso médio de 90g",12.0,https://www.goomer.app/webmenu/anaformigadoces/product/3091595/picture/medium/250620234945
Ana Formiga Doces,Coxinhas,Coxinha de Ferrero Rocher com Nutella,"Um brigadeiro gourmet de chocolate recheado com morango, envolvido em amendoim e cobertura de Nutella pura. 1 unidade de peso médio de 90g",14.0,https://www.goomer.app/webmenu/anaformigadoces/product/5285671/picture/medium/250620234939
Ana Formiga Doces,Coxinhas,Coxinha de Brigadeiro Uva,"Um brigadeiro gourmet recheado com uvas, envolvido em granulé. 1 unidade de peso médio de 90g",12.0,https://www.goomer.app/webmenu/anaformigadoces/product/6801338/picture/medium/250614180859
Ana Formiga Doces,Tortas,Torta de Feira Ninho Brigadeiro,"Torta de Ninho com brigadeiro com duas camadas de bolo bem molhadinhas, recheio de mousse de Ninho,  de brigadeiro de chocolate. 1 unidade peso médio 300g.",21.0,https://www.goomer.app/webmenu/anaformigadoces/product/9124234/picture/medium/240920201453
Ana Formiga Doces,Tortas,Torta de Feira Ouro Branco Brigadeiro,"Torta de Ouro Branco com duas camadas de bolo bem molhadinhas, recheio de mousse de Ninho, Ouro Banco picado, cobertura de brigadeiro de Ninho, com Ouro Branco e brigadeiro. 1 unidade peso médio 300g.",21.0,https://www.goomer.app/webmenu/anaformigadoces/product/8809036/picture/medium/241123142543
Ana Formiga Doces,Tortas,Torta de Feira - Morango,"Torta de morango com duas camadas de bolo bem molhadinhas, recheio de mousse de Ninho, morangos frescos, cobertura de brigadeiro de Ninho. 1 unidade peso médio 300g.",21.0,https://www.goomer.app/webmenu/anaformigadoces/product/7393205/picture/medium/250620234841
Ana Formiga Doces,Bolo no Pote,Bolo no pote Ninho com Chocolate,"Bolo fofinho e bem molhadinho recheado com brigadeiro de chocolate, moussse de Ninho. 1 unidade de peso médio de 230g.",14.0,https://www.goomer.app/webmenu/anaformigadoces/product/2949730/picture/medium/241123151533
Ana Formiga Doces,Bolo no Pote,Bolo no pote Ouro Branco,"Bolo fofinho e bem molhadinho recheado com brigadeiro de Ninho, mousse de Ninho com pedaços de Ouro Branco. 1 unidade de 230g aproximadamente",14.0,https://www.goomer.app/webmenu/anaformigadoces/product/3233538/picture/medium/241123151601
Ana Formiga Doces,Bolo no Pote,Bolo no pote Kinder Chocolate,"Bolo fofinho e bem molhadinho recheado com brigadeiro tradicional, Nutela pura,  mousse de Ninho e  pedaços de Kinder Chocolate e granulado de chocolate.
1 unidade  de peso médio de 200g",15.0,https://www.goomer.app/webmenu/anaformigadoces/product/4802140/picture/medium/250614150536
Ana Formiga Doces,Bolo no Pote,Bolo no pote Ferrero Rocher,"Bolo de chocolate fofinho e bem molhadinho recheado com mousse de chocolate, camada de Nutella pura, com camada de brigadeiro tradicional, amendoim e pedaços de Ferrero Rocher. 1 unidade de peso médio 200g.",15.0,https://www.goomer.app/webmenu/anaformigadoces/product/3097855/picture/medium/250614150622
